Customer,Contract ,Item Code,Item Name,Unit of Measure (UoM),Rate,Item Description,Xero Account

Lend Lease,Lend Lease - ODM,CB-01-01-01/01-01,Installation of an external FDH Cabinet,Per FDH Cabinet," $	1629.94 ",Installation of an external FDH Cabinet,45403

Lend Lease,Lend Lease - ODM,CB-02-01-01/01-01,Installation only of an external small port Node Cabinet,Per external Node Cabinet," $	4073.90 ",Installation only of an external small port Node Cabinet,45403

Lend Lease,Lend Lease - ODM,CB-02-01-02/01-01,Installation only of an external medium port Node Cabinet,Per external Node Cabinet," $	5443.75 ",Installation only of an external medium port Node Cabinet,45403

Lend Lease,Lend Lease - ODM,CB-02-01-03/01-01,Installation only of an external large port Node cabinet,Per external Node Cabinet," $	5528.98 ",Installation only of an external large port Node cabinet,45403

Lend Lease,Lend Lease - ODM,CB-02-02-01/01-01,Installation of service jumpering in a FTTN/FTTB Node Cabinet,Per 48 Port Line Card," $	216.92 ",Installation of service jumpering in a FTTN/FTTB Node Cabinet,45403

Lend Lease,Lend Lease - ODM,CB-02-02-02/01-01,Cable layup within CJL for external small port CSD node,Per CJL," $	103.30 ",Cable layup within CJL for external small port CSD node,45403

Lend Lease,Lend Lease - ODM,CB-03-01-01/01-01,Installation of an internal small FTTB Cabinet,Per FTTB Cabinet," $	2380.03 ",Installation of an internal small FTTB Cabinet,45403

Lend Lease,Lend Lease - ODM,CB-03-01-02/01-01,Installation of an internal medium FTTB Cabinet,Per FTTB Cabinet," $	2845.55 ",Installation of an internal medium FTTB Cabinet,45403

Lend Lease,Lend Lease - ODM,CB-03-01-03/01-01,Installation of an internal large FTTB Cabinet (greater than 192 up to 384 port),Per FTTB Cabinet," $	3240.48 ",Installation of an internal large FTTB Cabinet (greater than 192 up to 384 port),45403

Lend Lease,Lend Lease - ODM,CB-03-02-01/01-01,Supply and install new service earth bar,Per service earth bar," $	101.73 ",Supply and install new service earth bar,45403

Lend Lease,Lend Lease - ODM,CB-03-02-02/01-01,Supply and install new service earth stake,Per service earth stake," $	118.74 ",Supply and install new service earth stake,45403

Lend Lease,Lend Lease - ODM,CB-03-02-03/01-01,Install a 10 pair MDF terminal block,Per 10 pair MDF terminal block," $	33.81 ",Install a 10 pair MDF terminal block,45403

Lend Lease,Lend Lease - ODM,CB-03-02-04/01-01,Install a 100 pair MDF terminal frame,Per 100 pair MDF terminal frame," $	76.48 ",Install a 100 pair MDF terminal frame,45403

Lend Lease,Lend Lease - ODM,CB-04-01-01/01-01,Removal and disposal of a cabinet,Per Cabinet," $	361.52 ",Removal and disposal of a cabinet,45403

Lend Lease,Lend Lease - ODM,CB-04-01-02/01-01,Repair of a cabinet panel,Per Cabinet," $	94.82 ",Repair of a cabinet panel,45403

Lend Lease,Lend Lease - ODM,CB-04-01-03/01-01,Removal of graffiti from a cabinet,Per Cabinet," $	128.75 ",Removal of graffiti from a cabinet,45403

Lend Lease,Lend Lease - ODM,CB-04-01-04/01-01,Replacement of a cabinet lock,Per Cabinet," $	46.66 ",Replacement of a cabinet lock,45403

Lend Lease,Lend Lease - ODM,CC-01-01-01/01-01,"Installation, commissioning and integration of a Enterprise Ethernet B-NTD in a wall mounted environment",Per device," $	77.61 ","Installation, commissioning and integration of a Enterprise Ethernet B-NTD in a wall mounted environment",45403

Lend Lease,Lend Lease - ODM,CC-01-01-02/01-01,"Installation, commissioning and integration of a Enterprise Ethernet B-NTD in a rack mounted environment",Per device," $	95.28 ","Installation, commissioning and integration of a Enterprise Ethernet B-NTD in a rack mounted environment",45403

Lend Lease,Lend Lease - ODM,CC-01-01-03/01-01,"Installation, commissioning and activation of a GPON B-NTD in a wall mounted environment",Per device," $	95.28 ","Installation, commissioning and activation of a GPON B-NTD in a wall mounted environment",45403

Lend Lease,Lend Lease - ODM,CC-01-01-04/01-01,"Installation, commissioning and activation of a GPON B-NTD in a rack mounted environment",Per device," $	70.96 ","Installation, commissioning and activation of a GPON B-NTD in a rack mounted environment",45403

Lend Lease,Lend Lease - ODM,CC-01-01-05/01-01,Installation of battery back-up unit in conjunction with NTD installation,Per Battery Backup Device," $	14.45 ",Installation of battery back-up unit in conjunction with NTD installation,45403

Lend Lease,Lend Lease - ODM,CC-01-01-06/01-01,Installation of a Fibre TV Receiver (TVR) co-located with an NTD,Per device," $	49.54 ",Installation of a Fibre TV Receiver (TVR) co-located with an NTD,45403

Lend Lease,Lend Lease - ODM,CC-01-02-01/01-01,"Installation, commissioning and integration of a R- NTD in a wall mounted environment",Per device," $	238.53 ","Installation, commissioning and integration of a R- NTD in a wall mounted environment",45403

Lend Lease,Lend Lease - ODM,CC-01-02-02/01-01,"Installation, commissioning and integration of a R- NTD in a rack mounted environment",Per device," $	238.53 ","Installation, commissioning and integration of a R- NTD in a rack mounted environment",45403

Lend Lease,Lend Lease - ODM,CC-01-02-03/01-01,Internal wiring from exterior termination outlet enclosure to internal wall plate/TO,Per wall plate," $	180.24 ",Internal wiring from exterior termination outlet enclosure to internal wall plate/TO,45403

Lend Lease,Lend Lease - ODM,CC-02-01-01/01-01,Replace existing lead in termination enclosure,Per enclosure," $	65.01 ",Replace existing lead in termination enclosure,45403

Lend Lease,Lend Lease - ODM,CC-03-01-01/01-01,Remove existing aerial lead in equipment from lead-in termination enclosure to NTD,Per NTD," $	81.23 ",Remove existing aerial lead in equipment from lead-in termination enclosure to NTD,45403

Lend Lease,Lend Lease - ODM,CC-03-01-02/01-01,Remove existing non-aerial lead in equipment from lead-in termination enclosure to NTD,Per NTD," $	66.72 ",Remove existing non-aerial lead in equipment from lead-in termination enclosure to NTD,45403

Lend Lease,Lend Lease - ODM,CF-02-02-06/01-02,Travel Allowance For Zone 1,Per Km," $	0.92 ",Travel Allowance For Zone 1,45403

Lend Lease,Lend Lease - ODM,CF-03-02-01/01-01,LAFHA for Planning and Design or Construction Works for a Work Order located in Zone 1 & 2,per day / per person," $	120.00 ",LAFHA for Planning and Design or Construction Works for a Work Order located in Zone 1 & 2,45403

Lend Lease,Lend Lease - ODM,CF-03-02-02/01-01,LAFHA for Planning and Design or Construction Works for a Work Order located in Zone 3,per day / per person," $	120.00 ",LAFHA for Planning and Design or Construction Works for a Work Order located in Zone 3,45403

Lend Lease,Lend Lease - ODM,CF-03-02-03/01-01,LAFHA for Planning and Design or Construction Works for a Work Order located in Zone 4,per day / per person," $	120.00 ",LAFHA for Planning and Design or Construction Works for a Work Order located in Zone 4,45403

Lend Lease,Lend Lease - ODM,CI-01-01-01/01-01,Pipe Proving in existing duct,Per linear metre," $	1.83 ",Pipe Proving in existing duct,45403

Lend Lease,Lend Lease - ODM,CI-01-02-01/01-01,Pipe Proving in existing riser on a pole or in existing riser on the external face of a building,Per existing riser on a pole or existing riser on the external face of a building," $	30.85 ",Pipe Proving in existing riser on a pole or in existing riser on the external face of a building,45403

Lend Lease,Lend Lease - ODM,CI-02-01-01/01-01,Installation of a cable sheath greater than 144 fibre in underground duct by any means,Per linear metre," $	2.75 ",Installation of a cable sheath greater than 144 fibre in underground duct by any means,45403

Lend Lease,Lend Lease - ODM,CI-02-01-02/01-01,Installation of a cable sheath greater than 12 fibre and up to and including 144 fibre in underground duct by any means,Per linear metre," $	2.39 ",Installation of a cable sheath greater than 12 fibre and up to and including 144 fibre in underground duct by any means,45403

Lend Lease,Lend Lease - ODM,CI-02-01-03/01-01,Installation of 12 fibre  cable sheath in underground duct by any means,Per linear metre," $	2.02 ",Installation of 12 fibre  cable sheath in underground duct by any means,45403

Lend Lease,Lend Lease - ODM,CI-02-01-04/01-01,Installation of single fibre cable sheath in underground duct by any means,Per linear metre," $	1.98 ",Installation of single fibre cable sheath in underground duct by any means,45403

Lend Lease,Lend Lease - ODM,CI-02-01-05/01-01,"Installation of a cable sheath in existing riser on a pole or in existing riser on the external face of a building",Per cable sheath," $	64.23 ","Installation of a cable sheath in existing riser on a pole or in existing riser on the external face of a building",45403

Lend Lease,Lend Lease - ODM,CI-02-02-01/01-01,Installation of copper cable of up to including 100 pair in underground duct,Per linear metre," $	2.62 ",Installation of copper cable of up to including 100 pair in underground duct,45403

Lend Lease,Lend Lease - ODM,CI-02-02-02/01-01,Installation of copper cable of greater than 100 pair in underground duct,Per linear metre," $	4.51 ",Installation of copper cable of greater than 100 pair in underground duct,45403

Lend Lease,Lend Lease - ODM,CI-02-03-01/01-01,Installation of hardline in underground duct by any means,Per linear metre," $	3.75 ",Installation of hardline in underground duct by any means,45403

Lend Lease,Lend Lease - ODM,CI-02-03-02/01-01,"Installation of hardline in an existing riser on a pole or in an existing riser on the external face of a building",Per Cable," $	87.71 ","Installation of hardline in an existing riser on a pole or in an existing riser on the external face of a building",45403

Lend Lease,Lend Lease - ODM,CI-03-01-01/01-01,"Installation of cable sheath and all NBN Co infrastructure on timber poles in the communications corridor",Per Span," $	424.02 ","Installation of cable sheath and all NBN Co infrastructure on timber poles in the communications corridor",45403

Lend Lease,Lend Lease - ODM,CI-03-01-02/01-01,"Installation of cable sheath and all NBN Co infrastructure on stobie poles in the communications corridor",Per Span," $	424.02 ","Installation of cable sheath and all NBN Co infrastructure on stobie poles in the communications corridor",45403

Lend Lease,Lend Lease - ODM,CI-03-01-03/01-01,"Installation of cable sheath and all NBN Co infrastructure on concrete or steel poles in the communications corridor",Per Span," $	397.67 ","Installation of cable sheath and all NBN Co infrastructure on concrete or steel poles in the communications corridor",45403

Lend Lease,Lend Lease - ODM,CI-03-01-04/01-01,"Installation of cable sheath and all NBN Co infrastructure on timber poles in the power corridor",Per Span," $	505.82 ","Installation of cable sheath and all NBN Co infrastructure on timber poles in the power corridor",45403

Lend Lease,Lend Lease - ODM,CI-03-01-05/01-01,"Installation of cable sheath and all NBN Co infrastructure on stobie poles in the power corridor",Per Span," $	505.82 ","Installation of cable sheath and all NBN Co infrastructure on stobie poles in the power corridor",45403

Lend Lease,Lend Lease - ODM,CI-03-01-06/01-01,"Installation of cable sheath and all NBN Co infrastructure on concrete or steel poles in the power corridor",Per Span," $	505.82 ","Installation of cable sheath and all NBN Co infrastructure on concrete or steel poles in the power corridor",45403

Lend Lease,Lend Lease - ODM,CI-03-02-01/01-01,"Installation of copper cable sheath and all NBN Co infrastructure on timber poles in the communications corridor up to 100 pair",Per Span," $	162.94 ","Installation of copper cable sheath and all NBN Co infrastructure on timber poles in the communications corridor up to 100 pair",45403

Lend Lease,Lend Lease - ODM,CI-03-02-02/01-01,"Installation of copper cable sheath and all NBN Co infrastructure on stobie poles in the communications corridor up to 100 pair",Per Span," $	162.94 ","Installation of copper cable sheath and all NBN Co infrastructure on stobie poles in the communications corridor up to 100 pair",45403

Lend Lease,Lend Lease - ODM,CI-03-02-03/01-01,Installation of copper cable sheath and all NBN Co infrastructure on concrete or steel poles in the communications corridor up to 100 pair,Per Span," $	183.31 ",Installation of copper cable sheath and all NBN Co infrastructure on concrete or steel poles in the communications corridor up to 100 pair,45403

Lend Lease,Lend Lease - ODM,CI-03-02-04/01-01,"Installation of copper cable sheath and all NBN Co infrastructure on timber poles in the power corridor up to 100 pair",Per Span," $	189.48 ","Installation of copper cable sheath and all NBN Co infrastructure on timber poles in the power corridor up to 100 pair",45403

Lend Lease,Lend Lease - ODM,CI-03-02-05/01-01,"Installation of copper cable sheath and all NBN Co infrastructure on stobie poles in the power corridor up to 100 pair",Per Span," $	189.48 ","Installation of copper cable sheath and all NBN Co infrastructure on stobie poles in the power corridor up to 100 pair",45403

Lend Lease,Lend Lease - ODM,CI-03-02-06/01-01,"Installation of copper cable sheath and all NBN Co infrastructure on concrete or steel poles in the power corridor up to 100 pair",Per Span," $	187.08 ","Installation of copper cable sheath and all NBN Co infrastructure on concrete or steel poles in the power corridor up to 100 pair",45403

Lend Lease,Lend Lease - ODM,CI-03-03-01/01-01,Installation of hardline on all pole types,Per Coaxial Cable Span," $	421.40 ",Installation of hardline on all pole types,45403

Lend Lease,Lend Lease - ODM,CI-03-03-02/01-01,Installation of a catenary wire only on timber poles,Per Coaxial Cable Span," $	221.45 ",Installation of a catenary wire only on timber poles,45403

Lend Lease,Lend Lease - ODM,CI-03-03-03/01-01,Installation of a catenary wire only on stobie poles,Per Coaxial Cable Span," $	221.45 ",Installation of a catenary wire only on stobie poles,45403

Lend Lease,Lend Lease - ODM,CI-03-03-04/01-01,Installation of a catenary wire only on concrete or steel poles,Per Coaxial Cable Span," $	221.45 ",Installation of a catenary wire only on concrete or steel poles,45403

Lend Lease,Lend Lease - ODM,CI-03-03-05/01-01,Re-lashing of existing hardline to existing catenary wire,Per Coaxial Cable Span," $	221.45 ",Re-lashing of existing hardline to existing catenary wire,45403

Lend Lease,Lend Lease - ODM,CI-04-01-01/01-01,Installation of cable sheath within a cable chamber or tunnel networks,Per linear metre," $	5.74 ",Installation of cable sheath within a cable chamber or tunnel networks,45403

Lend Lease,Lend Lease - ODM,CI-04-01-01-AH/01-01,Installation of cable sheath within a cable chamber or tunnel networks outside working hours,Per linear metre," $	9.42 ",Installation of cable sheath within a cable chamber or tunnel networks outside working hours,45403

Lend Lease,Lend Lease - ODM,CI-04-01-02/01-01,Installation of cable sheath via riser shaft/cable tray,Per linear metre," $	5.92 ",Installation of cable sheath via riser shaft/cable tray,45403

Lend Lease,Lend Lease - ODM,CI-04-01-02-AH/01-01,Installation of cable sheath via riser shaft/cable tray outside working hours,Per linear metre," $	8.89 ",Installation of cable sheath via riser shaft/cable tray outside working hours,45403

Lend Lease,Lend Lease - ODM,CI-04-01-03/01-01,Installation of cable sheath via ceiling space/floor cavity or crawl space,Per linear metre," $	5.72 ",Installation of cable sheath via ceiling space/floor cavity or crawl space,45403

Lend Lease,Lend Lease - ODM,CI-04-01-03-AH/01-01,Installation of cable sheath via ceiling space/floor cavity or crawl space outside working hours,Per linear metre," $	10.47 ",Installation of cable sheath via ceiling space/floor cavity or crawl space outside working hours,45403

Lend Lease,Lend Lease - ODM,CI-04-01-04/01-01,Installation of cable sheath via existing or new conduit,Per linear metre," $	4.51 ",Installation of cable sheath via existing or new conduit,45403

Lend Lease,Lend Lease - ODM,CI-04-01-04-AH/01-01,Installation of cable sheath via existing or new conduit outside working hours,Per linear metre," $	9.21 ",Installation of cable sheath via existing or new conduit outside working hours,45403

Lend Lease,Lend Lease - ODM,CI-04-02-01/01-01,Extra over rate for supply and install AC power cable for FTTB Cabinet,Per linear metre," $	11.14 ",Extra over rate for supply and install AC power cable for FTTB Cabinet,45403

Lend Lease,Lend Lease - ODM,CI-04-02-02/01-01,Extra over rate for supply and install earth cable for FTTB Cabinet,Per linear metre," $	13.08 ",Extra over rate for supply and install earth cable for FTTB Cabinet,45403

Lend Lease,Lend Lease - ODM,CI-04-02-03/01-01,"Extra over rate for the installation of a copper cable sheaths from main distribution frame to FTTB Cabinet, via riser, shaft or cable tray",Per linear metre," $	6.02 ","Extra over rate for the installation of a copper cable sheaths from main distribution frame to FTTB Cabinet, via riser, shaft or cable tray",45403

Lend Lease,Lend Lease - ODM,CI-04-02-04/01-01,"Extra over rate for the installation of copper cable sheaths via ceiling space, floor cavity or crawl space",Per linear metre," $	7.14 ","Extra over rate for the installation of copper cable sheaths via ceiling space, floor cavity or crawl space",45403

Lend Lease,Lend Lease - ODM,CI-04-03-01/01-01,Installation of backbone cable in buildings,Per linear metre," $	4.43 ",Installation of backbone cable in buildings,45403

Lend Lease,Lend Lease - ODM,CI-04-03-02/01-01,Installation of coaxial service drop cable (lateral) from isolator to the ICD in existing or new duct and the installation of the ICD,Per drop," $	89.27 ",Installation of coaxial service drop cable (lateral) from isolator to the ICD in existing or new duct and the installation of the ICD,45403

Lend Lease,Lend Lease - ODM,CI-04-03-03/01-01,Installation of coaxial service drop cable (lateral) from isolator to ICD on existing or new cable tray and the installation of the ICD,Per drop," $	117.99 ",Installation of coaxial service drop cable (lateral) from isolator to ICD on existing or new cable tray and the installation of the ICD,45403

Lend Lease,Lend Lease - ODM,CI-04-03-04/01-01,Installation of coaxial service drop cable (lateral) from isolator to ICD in cavity or communications riser and the installation of the ICD,Per drop," $	87.91 ",Installation of coaxial service drop cable (lateral) from isolator to ICD in cavity or communications riser and the installation of the ICD,45403

Lend Lease,Lend Lease - ODM,CI-04-03-05/01-01,Installation of coaxial customer premises tie- cabling from ICD to wall plate,Per wall plate," $	110.46 ",Installation of coaxial customer premises tie- cabling from ICD to wall plate,45403

Lend Lease,Lend Lease - ODM,CI-04-03-06/01-01,Installation of coaxial customer premises tie- cabling from isolator to unterminated location within ceiling void,Per Tie cable," $	120.80 ",Installation of coaxial customer premises tie- cabling from isolator to unterminated location within ceiling void,45403

Lend Lease,Lend Lease - ODM,CI-04-03-07/01-01,Installation of coaxial customer premises drop cable from isolator to wall plate in existing or new ducting,Per drop," $	127.62 ",Installation of coaxial customer premises drop cable from isolator to wall plate in existing or new ducting,45403

Lend Lease,Lend Lease - ODM,CI-04-03-08/01-01,Installation of coaxial customer premises drop cable from isolator to wall plate on existing or new cable tray,Per drop," $	133.44 ",Installation of coaxial customer premises drop cable from isolator to wall plate on existing or new cable tray,45403

Lend Lease,Lend Lease - ODM,CI-04-03-09/01-01,Installation of coaxial customer premises drop cable from isolator to wall plate in cavity or communications riser,Per drop," $	129.14 ",Installation of coaxial customer premises drop cable from isolator to wall plate in cavity or communications riser,45403

Lend Lease,Lend Lease - ODM,CI-05-01-01/01-01,Removal and disposal of cable in distribution aerial Network,Per Span," $	173.02 ",Removal and disposal of cable in distribution aerial Network,45403

